DEPTH,NPHI,RHOB,GR,RT,PEF,CALI,DT
3912.0,0.1348,2.5073,30.4268,2.3453,6.2237,8.6057,71.51802911644572
3912.1,0.1336,2.5043,30.6755,2.3924,6.0916,8.6057,70.49859716457165
3912.2,0.134,2.5029,31.7743,2.4408,5.9853,8.6057,70.50909662819062
3912.3,0.1359,2.5021,31.683,2.4554,5.9579,8.6057,70.07791433341501
3912.4,0.1382,2.5008,32.102,2.4649,5.9968,8.6057,70.28544106672588
3912.5,0.1399,2.4992,31.0396,2.4524,6.0466,8.6057,70.52016850199519
3912.6,0.1404,2.5002,30.807,2.4377,6.0714,8.6057,70.60024658916255
3912.7,0.1395,2.5065,31.6814,2.4365,6.0909,8.6057,70.59847439864997
3912.8,0.1377,2.5172,32.0249,2.431,6.1295,8.6058,72.00564511049721
3912.9,0.1332,2.5273,31.6107,2.3871,6.1752,8.6383,71.31327806234626
3913.0,0.1334,2.531,29.3057,2.3289,6.194,8.6382,71.16886970267498
3913.1,0.1323,2.5269,30.796,2.406,6.1734,8.6057,71.25563802049562
3913.2,0.1322,2.5194,30.9118,2.4317,6.1454,8.6057,71.11819151066362
3913.3,0.1332,2.5137,30.8276,2.424,6.1511,8.6057,71.28378477215588
3913.4,0.1348,2.5127,30.1144,2.3548,6.1992,8.6057,71.94412642498709
3913.5,0.1363,2.516,30.6452,2.2764,6.2674,8.6057,71.48311915144774
3913.6,0.1373,2.5231,30.4999,2.2682,6.3325,8.6057,71.2652301414123
3913.7,0.1381,2.5325,29.5327,2.2707,6.3944,8.6057,70.39746304794168
3913.8,0.1392,2.5414,30.8674,2.289,6.4286,8.6057,70.47780845849461
3913.9,0.1402,2.5458,32.2808,2.2897,6.401,8.6057,70.57776922857227
3914.0,0.1411,2.5442,30.8717,2.335,6.3176,8.6057,70.54208536627081
3914.1,0.1416,2.5382,31.7905,2.3689,6.2386,8.6057,70.67153273616624
3914.2,0.1417,2.5324,30.6076,2.3975,6.239,8.6058,70.56153430911766
3914.3,0.1391,2.5316,28.3469,2.356,6.3116,8.6383,71.03436420852138
3914.4,0.138,2.5369,27.2685,2.3118,6.3799,8.6382,70.20168469285285
3914.5,0.1384,2.5445,28.666,2.3057,6.3635,8.6057,70.53322158664976
3914.6,0.1364,2.5469,29.7649,2.3276,6.2646,8.6057,70.88297387004387
3914.7,0.1347,2.5402,28.8922,2.3383,6.1696,8.6057,71.31060549760977
3914.8,0.133,2.5291,27.5834,2.3631,6.1486,8.6057,69.65937817136404
3914.9,0.1308,2.5221,29.8034,2.3929,6.2036,8.6057,70.57358831112434
3915.0,0.1275,2.5235,30.9862,2.3999,6.2704,8.6057,70.64437199157084
3915.1,0.1218,2.5306,30.9891,2.4138,6.2847,8.6057,69.67232169469222
3915.2,0.1215,2.5374,29.5555,2.4911,6.2348,8.622,69.45619900038308
3915.3,0.1208,2.5409,28.7018,2.6743,6.1687,8.6057,69.08878249054695
3915.4,0.1206,2.5426,30.3007,2.7388,6.1474,8.6058,69.50079847978401
3915.5,0.1197,2.5459,30.3939,2.8716,6.185,8.6382,69.61866511011593
