DEPTH,NPHI,RHOB,GR,RT,PEF,CALI,DT
3225.9,0.119,2.578,34.177,3.704,6.983,8.57,73.50378347143523
3226.0,0.115,2.575,32.292,3.796,7.046,8.562,72.99683307509609
3226.1,0.112,2.574,30.206,3.965,7.108,8.547,72.56382728482185
3226.2,0.106,2.577,28.432,4.441,7.139,8.547,68.27576465201318
3226.3,0.1,2.581,27.741,4.765,7.119,8.547,68.04179668606017
3226.4,0.096,2.586,27.103,4.874,7.079,8.547,68.09180052964183
3226.5,0.094,2.591,26.976,4.99,7.068,8.547,67.45469640666938
3226.6,0.093,2.597,26.412,4.921,7.121,8.547,67.41698116670122
3226.7,0.093,2.601,26.796,4.932,7.209,8.547,67.36964195249145
3226.8,0.094,2.603,27.074,4.95,7.273,8.547,67.5266450672445
3226.9,0.095,2.605,26.75,4.986,7.288,8.547,67.49833425042422
3227.0,0.096,2.608,26.772,5.017,7.284,8.547,68.04546509015341
3227.1,0.095,2.61,26.757,5.044,7.298,8.563,67.51076378836886
3227.2,0.097,2.611,26.585,4.945,7.35,8.578,67.94427884120101
3227.3,0.1,2.609,26.598,4.846,7.391,8.578,67.84601878312715
3227.4,0.103,2.604,26.669,4.668,7.398,8.578,68.2855871606157
3227.5,0.109,2.597,27.648,4.5,7.364,8.578,68.27034138496711
3227.6,0.116,2.591,29.282,4.264,7.308,8.578,72.90812213446416
3227.7,0.122,2.586,30.781,4.225,7.249,8.578,73.67181078369988
3227.8,0.129,2.582,32.481,4.057,7.203,8.578,74.80607464528606
3227.9,0.136,2.579,33.703,3.918,7.173,8.578,74.6354388419811
3228.0,0.141,2.576,36.314,3.548,7.147,8.578,75.31444531372206
3228.1,0.146,2.572,38.562,3.044,7.115,8.578,75.59314672162732
3228.2,0.145,2.568,38.466,2.788,7.075,8.597,74.14875613262497
3228.3,0.15,2.565,38.891,2.795,7.038,8.578,76.12323974502098
3228.4,0.147,2.565,40.1,2.741,7.027,8.602,74.07945307222406
3228.5,0.145,2.567,40.452,2.804,7.057,8.625,74.36202164805296
3228.6,0.141,2.57,39.306,2.953,7.125,8.625,73.9141832635582
3228.7,0.138,2.572,37.691,3.04,7.197,8.609,73.9369644631069
